violin ;   -10     ;    -9     ;    -8     ;    -7     ;    -6     ;    -5     ;    -4     ;    -3     ;    -2     ;    -1     ;     0     ;     1     ;     2     ;     3     ;     4     ;
F#/d#  ;_          ;X          ;#          ;X          ;#          ;X          ;#          ;#          ;X          ;#          ;X          ;#          ;_          ;X          ;#          ;
       ;-7:_       ;-7:# /-6:n ;-6:_       ;-6:##/-5:n ;-5:_       ;-5:##/-4:n ;-4:_       ;-3:_       ;-3:##/-2:n ;-2:_       ;-2:##/-1:n ;-1:_       ; 0:_       ; 0:# / 1:n ; 1:_       ;
       ; -10       ;  -9 /  -9 ;  -8       ;  -7 /  -7 ;  -6       ;  -5 /  -5 ;  -4       ;  -3       ;  -2 /  -2 ;  -1       ;   0 /   0 ;   1       ;   2       ;   3 /   3 ;   4       ;
       ;B          ;B#         ;C#         ;C##        ;D#         ;D##        ;E#         ;F#         ;F##        ;G#         ;G##        ;A#         ;B          ;B#         ;C#         ;
Gb/eb  ;b          ;X          ;b          ;X          ;b          ;X          ;_          ;b          ;X          ;b          ;X          ;b          ;b          ;X          ;b          ;
       ;-7:_       ;-7:n /-6:bb;-6:_       ;-6:n /-5:bb;-5:_       ;-5:n /-4:b ;-4:_       ;-3:_       ;-3:n /-2:bb;-2:_       ;-2:n /-1:bb;-1:_       ; 0:_       ; 0:n / 1:bb; 1:_       ;
       ; -10       ;  -9 /  -9 ;  -8       ;  -7 /  -7 ;  -6       ;  -5 /  -5 ;  -4       ;  -3       ;  -2 /  -2 ;  -1       ;   0 /   0 ;   1       ;   2       ;   3 /   3 ;   4       ;
       ;Bb         ;Cbb        ;Cb         ;Dbb        ;Db         ;Eb         ;E          ;Fb         ;Gbb        ;Gb         ;Abb        ;Ab         ;Bb         ;Cbb        ;Cb         ;
B/g#   ;_          ;X          ;#          ;X          ;#          ;_          ;X          ;#          ;X          ;#          ;X          ;#          ;_          ;X          ;#          ;
       ;-7:_       ;-7:# /-6:n ;-6:_       ;-6:##/-5:n ;-5:_       ;-4:_       ;-4:# /-3:n ;-3:_       ;-3:##/-2:n ;-2:_       ;-2:##/-1:n ;-1:_       ; 0:_       ; 0:# / 1:n ; 1:_       ;
       ; -10       ;  -9 /  -9 ;  -8       ;  -7 /  -7 ;  -6       ;  -5       ;  -4 /  -4 ;  -3       ;  -2 /  -2 ;  -1       ;   0 /   0 ;   1       ;   2       ;   3 /   3 ;   4       ;
       ;B          ;B#         ;C#         ;C##        ;D#         ;E          ;E#         ;F#         ;F##        ;G#         ;G##        ;A#         ;B          ;B#         ;C#         ;
Cb/ab  ;b          ;X          ;b          ;X          ;b          ;b          ;X          ;b          ;X          ;b          ;X          ;b          ;b          ;X          ;b          ;
       ;-7:_       ;-7:n /-6:bb;-6:_       ;-6:n /-5:bb;-5:_       ;-4:_       ;-4:n /-3:bb;-3:_       ;-3:n /-2:bb;-2:_       ;-2:n /-1:bb;-1:_       ; 0:_       ; 0:n / 1:bb; 1:_       ;
       ; -10       ;  -9 /  -9 ;  -8       ;  -7 /  -7 ;  -6       ;  -5       ;  -4 /  -4 ;  -3       ;  -2 /  -2 ;  -1       ;   0 /   0 ;   1       ;   2       ;   3 /   3 ;   4       ;
       ;Bb         ;Cbb        ;Cb         ;Dbb        ;Db         ;Eb         ;Fbb        ;Fb         ;Gbb        ;Gb         ;Abb        ;Ab         ;Bb         ;Cbb        ;Cb         ;
E/c#   ;_          ;X          ;#          ;X          ;#          ;_          ;X          ;#          ;X          ;#          ;_          ;X          ;_          ;X          ;#          ;
       ;-7:_       ;-7:# /-6:n ;-6:_       ;-6:##/-5:n ;-5:_       ;-4:_       ;-4:# /-3:n ;-3:_       ;-3:##/-2:n ;-2:_       ;-1:_       ;-1:# / 0:b ; 0:_       ; 0:# / 1:n ; 1:_       ;
       ; -10       ;  -9 /  -9 ;  -8       ;  -7 /  -7 ;  -6       ;  -5       ;  -4 /  -4 ;  -3       ;  -2 /  -2 ;  -1       ;   0       ;   1 /   1 ;   2       ;   3 /   3 ;   4       ;
       ;B          ;B#         ;C#         ;C##        ;D#         ;E          ;E#         ;F#         ;F##        ;G#         ;A          ;A#         ;B          ;B#         ;C#         ;
A/f#   ;_          ;X          ;#          ;_          ;X          ;_          ;X          ;#          ;X          ;#          ;_          ;X          ;_          ;X          ;#          ;
       ;-7:_       ;-7:# /-6:n ;-6:_       ;-5:_       ;-5:# /-4:b ;-4:_       ;-4:# /-3:n ;-3:_       ;-3:##/-2:n ;-2:_       ;-1:_       ;-1:# / 0:b ; 0:_       ; 0:# / 1:n ; 1:_       ;
       ; -10       ;  -9 /  -9 ;  -8       ;  -7       ;  -6 /  -6 ;  -5       ;  -4 /  -4 ;  -3       ;  -2 /  -2 ;  -1       ;   0       ;   1 /   1 ;   2       ;   3 /   3 ;   4       ;
       ;B          ;B#         ;C#         ;D          ;D#         ;E          ;E#         ;F#         ;F##        ;G#         ;A          ;A#         ;B          ;B#         ;C#         ;
D/b    ;_          ;X          ;#          ;_          ;X          ;_          ;X          ;#          ;_          ;X          ;_          ;X          ;_          ;X          ;#          ;
       ;-7:_       ;-7:# /-6:n ;-6:_       ;-5:_       ;-5:# /-4:b ;-4:_       ;-4:# /-3:n ;-3:_       ;-2:_       ;-2:# /-1:b ;-1:_       ;-1:# / 0:b ; 0:_       ; 0:# / 1:n ; 1:_       ;
       ; -10       ;  -9 /  -9 ;  -8       ;  -7       ;  -6 /  -6 ;  -5       ;  -4 /  -4 ;  -3       ;  -2       ;  -1 /  -1 ;   0       ;   1 /   1 ;   2       ;   3 /   3 ;   4       ;
       ;B          ;B#         ;C#         ;D          ;D#         ;E          ;E#         ;F#         ;G          ;G#         ;A          ;A#         ;B          ;B#         ;C#         ;
G/e    ;_          ;_          ;X          ;_          ;X          ;_          ;X          ;#          ;_          ;X          ;_          ;X          ;_          ;_          ;X          ;
       ;-7:_       ;-6:_       ;-6:# /-5:b ;-5:_       ;-5:# /-4:b ;-4:_       ;-4:# /-3:n ;-3:_       ;-2:_       ;-2:# /-1:b ;-1:_       ;-1:# / 0:b ; 0:_       ; 1:_       ; 1:# / 2:b ;
       ; -10       ;  -9       ;  -8 /  -8 ;  -7       ;  -6 /  -6 ;  -5       ;  -4 /  -4 ;  -3       ;  -2       ;  -1 /  -1 ;   0       ;   1 /   1 ;   2       ;   3       ;   4 /   4 ;
       ;B          ;C          ;C#         ;D          ;D#         ;E          ;E#         ;F#         ;G          ;G#         ;A          ;A#         ;B          ;C          ;C#         ;
